Agriculture,Industry,Construction,Services,foreigntrade
0.1,0.05,0.05,0.05,0.05
0.04,0.04,0.05,0.05,0.05
0.04,0.04,0.025,0.03,0.02
0.06,0.07,0.06,0.06,0.05
0.15,0.1,0.12,0.12,0.14125
