Agriculture,Industry,Construction,Services,foreigntrade
28503.79269,107240.6851,1750.493879,20710.25177,8104.712278
147420.2803,4626932.708,685799.1059,1902704.928,1849288.847
62353.53123,982434.697,7879866.413,4800546.932,50273.84377
61044.12998,1366795.005,287172.3121,3783177.373,411764.4585
155825.6545,130388.5348,133118.4057,196817.9853,83648.70968
